"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"Ann Arbor, MI",-1.82778501593515,-2.52914010267964,3.94236970018666,0.739601571523768,0.470026323097219,-0.98461184925503,-0.224990174406722,0.977611983794979,-0.220523835529527,0.429763891979311,1.52407773242221,-0.807318462224882,-0.330427343832889,0.0237057561301327,0.941523148076123,-0.715409564688977,-0.650013684852137
"Anniston-Oxford-Jacksonville, AL",2.28377122331705,0.479318014403129,0.208912068605171,-0.410446421891048,0.0626932914098884,-0.300957215410017,-0.325042480166128,0.233660840229328,0.817707951288431,1.41745319462544,-1.91659593436977,-0.916179567670764,0.099419110951229,0.157204766298432,0.776572111243015,0.330074440568778,0.00373989596820056
"Appleton, WI",-4.1105120188444,-0.152688076447847,-0.248307544303014,-0.704555886230691,0.436462698631953,0.56140719717906,0.376429918893969,-0.170916258026113,-0.133247238875192,0.69835798855868,-0.562651257214824,0.522670749851293,-0.0446647162145007,-0.362625457082246,-0.731423438335945,-0.197658294818931,-0.277184295881377
"Arcadia, FL",2.61143406750091,1.70902764150513,-0.495879552355033,0.744991372353737,0.109428183071203,0.439904599312085,0.174401561757594,1.78995449311946,-1.01774811672646,-1.88172600571864,0.471275889184162,-0.0324471065020425,1.48799466258079,-0.0460331448348294,-1.48131598654119,0.648317722079805,-0.85965305004807
"Ardmore, OK",0.988388427243033,0.346461720976248,-0.836987881624253,-0.264855195789558,0.994349263594318,-0.95919629638191,-0.125478453607934,1.23825103390066,-0.742617297184694,0.651098635340318,-0.488082517230817,-0.313297295952703,-0.34480352061295,0.0815711502274233,0.015066141702769,0.0290979693570848,0.188774420081193
"Arkadelphia, AR",1.67548302357193,-0.139550609734241,-0.229624559902522,1.94193129802886,-0.578728987462854,0.498820704618943,-0.289281844857607,-0.392665772429383,0.27966843889887,0.344450564061354,-1.02719592604713,-0.153982304060892,-0.731787320937118,0.815922942303998,0.183938346148264,-0.678397129453848,-0.29459219290174
"Arkansas City-Winfield, KS",-0.804277815796573,0.201353140424611,-0.667474293985122,0.973452744465103,-0.312956582109825,0.350682477733222,-0.208067431784655,1.00945684239239,0.291231299784765,0.717862420824021,-0.251263830082955,-0.162153552838984,-0.362748502298765,0.201572124300499,-0.271436360552342,0.185419994595962,-0.0833641955420285
"Asheville, NC",-0.966654990429414,-1.27659248016493,-0.0420217156900692,-0.672509140052811,-0.316478951419677,0.271431954479979,0.0555592709727509,-0.77848431555767,-0.814417328926701,-0.248355315904417,-0.284139780369458,-0.236993686525036,-0.667570315322126,0.300507188000264,0.189539443929493,-0.151775382931869,-0.309404069476522
"Ashland, OH",-2.26954283265597,1.35561298586171,1.07992309509334,0.167408118299566,-2.59207067218771,-1.78411283049142,0.482451524514821,0.316659358417162,0.415401778889419,0.547975311898932,1.36907812804055,-0.296461836223027,-0.36017478991145,0.338660227931639,-0.82418193998876,-0.059263478298936,0.00874908338834495
"Ashtabula, OH",-0.377064766244441,2.2450724884009,1.38292027802533,-0.452639198271131,-0.828777142067324,0.706017957913369,-0.621313810672467,-0.15428148972331,0.172200497963605,0.545119768250284,1.01902523804762,0.257276518385596,-0.0966483412291224,0.214876976317393,-0.612429903147563,-0.20702821535369,-0.145727852901772
"Astoria, OR",-0.808535502823539,-0.908140018100993,-1.08517055097949,0.610173521131217,-2.63694874239881,-1.4853710943962,-1.35558004071299,0.085139492419357,0.260655182425473,-0.936260823281019,-0.379935498926518,-0.136639411249168,0.612096415884696,0.0462620079674824,-0.842989848455506,-0.201709312546341,0.634232938073806
"Atchison, KS",-0.128523106894622,1.20870600430189,-0.781144618953808,3.69933101722556,1.86173832105209,-1.03938975234772,2.82425588510162,-1.23508728204551,0.265150794383849,1.39381450838429,1.28952114167091,0.0865556190805336,0.428219432323695,-1.16348850612677,0.252003570611197,0.574987172785665,0.552340081872698
"Athens, OH",2.82163170584388,-1.12862193967888,3.11808462054,2.85786102057191,-2.40270753100929,-0.839406520232035,-0.457458856369587,0.660605248828281,-0.0384882161840268,-0.863555172586528,1.60157493593548,0.41688714852459,0.180391170306483,0.505058631911027,0.137986239174942,0.597745649597035,-0.0269175742624843
