GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,Z_Water_Index,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME,broadband_access,Female_Inequality,Black_equality,Hispanic_equality,Asian_equality
40860,"Rutland, VT","Rutland, VT Micro Area",0.8,30,11.4,42.86,91.5,18.52,30.74,54.62,12.4,0.04,6.81,0.0552,12.3,161.732295,0.068,1.002,1.112805823,0.958477312,0.996526488
40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area",0.32,32.4,15,46.4,83.5,22.39,7.95,53.59,12.95,0.15,7.83,0.0945,14.4085168,410.481835,0.124,0.975,0.689046104,0.948388501,0.678580324
40940,"Safford, AZ","Safford, AZ Micro Area",0.71,14.1,21.4,41.49,82.4,17.24,1.94,87.67,19,0.36,10.93,0.1442,15.5,108.859994,0.307,0.951,0.660803937,0.751301272,0.725469077
40980,"Saginaw, MI","Saginaw, MI Metro Area",0.78,21.1,17.7,46.55,86.2,15.39,62.51,7.78,14.7,0.08,16.09,0.0954,14.5,633.547868,0.06,0.983,0.650217209,1.499690888,0.748464846
41060,"St. Cloud, MN","St. Cloud, MN Metro Area",0.9,26.1,13.3,42.87,81.3,13.48,16.77,25.1,10.28,0.11,17.16,0.0837,10.7807791,187.575826,0.169,0.987,0.538163524,1.005377974,0.701149639
41100,"St. George, UT","St. George, UT Metro Area",0.76,28.1,14.2,43.81,81.3,17.55,3.11,91.92,12,0.18,30.32,0.0922,14.3,154.324535,0.02,0.935,0.584272186,0.906781389,0.626558475
41140,"St. Joseph, MO-KS","St. Joseph, MO-KS Metro Area",0.68,19.9,15.5,43.73,83.4,13.27,8.66,6.93,19.38,0.06,37.76,0.0447,14.1754103,370.30605,0.47,1.005,0.713369078,1.158987112,0.825582411
41180,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area",0.39,33.3,12.2,46.62,86.3,14.11,8.98,19.93,13.47,0.01,18.57,0.0685,14.3470482,460.785736,0.341,0.963,0.659423214,1.197695283,0.792847616
41220,"St. Marys, GA","St. Marys, GA Micro Area",0.75,23.6,12.7,43.29,78.2,14.4,15.55,50.55,13,0.09,16.11,0.0743,13.8,319.797973,0.071,0.898,0.783349583,0.952447867,0.8759056
41400,"Salem, OH","Salem, OH Micro Area",1,13.9,15.4,44.61,86.9,11.37,58.57,33.57,20.1,0.04,12.82,0.0388,14.5,57.5320022,0.232,0.946,0.656738364,1.718988323,0.694409948
41420,"Salem, OR","Salem, OR Metro Area",0.84,24.2,15.8,42.48,83.2,20.62,15.93,67.46,14.74,0.1,17.51,0.0645,11.7363281,232.089783,0.031,0.971,0.873196533,1.043803013,0.614538687
41460,"Salina, KS","Salina, KS Micro Area",0.93,24.8,12.3,44.8,84.8,14.19,23.98,30.69,13.98,0.08,17.79,0.0783,12.9871413,364.088887,0.151,0.985,0.670884359,0.972303384,0.593712122
41500,"Salinas, CA","Salinas, CA Metro Area",0.88,23.9,14.7,45.95,87.8,30,4.92,56.13,24,0.17,7.86,0.0668,9.5,420.636145,0.262,0.995,0.656627529,0.879656435,0.524869991
41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area",0.77,25.8,13.3,45.18,86.3,17.4,27.78,50.09,14.33,0.11,12.88,0.1323,11.78191,409.769223,0.24,0.989,0.676756189,1.131609347,0.695184252
41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area",0.5,33.1,10.3,43.22,83.9,15.81,3.69,91.15,12.48,0.08,11.43,0.0669,12.1495386,378.128868,0.048,0.953,0.704924855,1.054743631,0.635938523
41660,"San Angelo, TX","San Angelo, TX Metro Area",0.78,23.7,12.9,46.9,80.4,14.1,0.91,60.27,19.03,0.47,17.88,0.1679,13.6911223,314.317011,0.568,0.947,0.740256077,0.95745948,0.678384956
41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",0.64,27.4,15.2,45.99,83.3,17.15,2.64,47.33,16.28,0.2,15.07,0.0551,11.2366416,469.624994,0.266,0.976,0.759326568,0.991642258,0.676832744
41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",0.21,37.4,13.3,46.66,84.3,25.19,15.31,66.52,16,0.16,7.38,0.0567,11.7,327.718831,0.049,0.959,0.686948146,0.945050915,0.610356484
41760,"Sandpoint, ID","Sandpoint, ID Micro Area",0.91,22.4,14,45.65,85.9,21.81,17.11,72.2,15,0.1,12.73,0.0768,15.1,165.77174,0.67,0.951,NA,0.773124531,0.776413329
41780,"Sandusky, OH","Sandusky, OH Micro Area",0.77,22.4,13,45,86.2,11.7,78.67,13.54,19.5,0.04,20.89,0.0936,13.8,120.845031,0.052,0.955,0.708803662,1.463563607,0.662947414
41820,"Sanford, NC","Sanford, NC Micro Area",0.79,21.2,17.5,43.9,88.5,15.07,9.83,58.03,20.1,0.12,13.02,0.0727,13.8,180.801554,0.014,0.993,0.683841848,0.988916387,0.606323313
41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area",0.52,47.4,10.1,48.84,86.6,23.84,24.43,48.1,14.04,0.14,8.52,0.0668,12.2231753,488.984791,0.009,0.971,0.610308127,0.859667833,0.585600957
41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.62,49.2,8.7,46.37,85.5,23.37,7.04,66.79,13.63,0.17,8.14,0.0725,9.77928723,265.132961,0.009,0.961,0.68585901,0.946562294,0.553488401
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",0.4,34,13.8,45.18,81.7,23.64,4.92,56.13,11.6,0.19,9.73,0.1008,12.5,408.225058,0.133,0.962,0.725270555,0.935440747,0.666871626
42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area",0.85,39.8,14.7,47.84,86.2,27.28,11.25,66.79,16.8,0.17,6.6,0.0877,12,409.525864,0,0.97,0.84909484,0.918772459,0.549933359
42140,"Santa Fe, NM","Santa Fe, NM Metro Area",0.81,41.4,14.4,48.49,89.1,19.67,3.32,93.17,14.5,0.5,14.51,0.0541,12.6,325.881092,0.137,1.004,0.876174858,1.003444952,0.652441757
42200,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area",0.67,33.3,15.4,48.26,79.9,29.46,10.95,58.28,21,0.18,8.15,0.0861,10,318.050523,0.074,0.973,0.657469719,0.905461206,0.545828352
42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area",0.87,33.8,10.7,45.84,86.3,23.8,27.58,66.79,14.4,0.12,8.27,0.0715,10.7,367.919495,0.046,0.983,0.700050853,0.949966965,0.592784501
42300,"Sault Ste. Marie, MI","Sault Ste. Marie, MI Micro Area",0.9,20.7,17.1,44.09,82.1,13.79,35.4,67.71,14.9,0.11,11.93,0.0627,15.5,288.13935,0.247,1.013,0.469100966,1.298095239,0.690047675
42340,"Savannah, GA","Savannah, GA Metro Area",0.76,31.1,15.8,46.09,79.1,18.81,9.41,50.55,15.51,0.16,16.65,0.0613,15.902288,378.857262,0.041,0.976,0.723729512,1.009978963,0.767081859
42380,"Sayre, PA","Sayre, PA Micro Area",0.94,18,12.2,43.48,91.1,11.8,15.94,69.42,13.7,0.06,12.73,0.1033,11.9,181.187387,0.395,0.983,0.606110471,1.145152191,1.152255925
42420,"Scottsbluff, NE","Scottsbluff, NE Micro Area",0.93,22.1,13.1,44.66,86.6,13.74,6.31,67.22,13.97,0.25,16.44,0.1228,9.82426125,194.385564,0.657,0.962,0.449475065,0.65191892,0.651987488
42460,"Scottsboro, AL","Scottsboro, AL Micro Area",0.82,13.4,19,45.37,93.1,9.69,14.62,53.17,28,0.01,27.27,0.0652,14,316.984948,0.127,0.968,0.718365558,1.733013474,0.730063646
42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",0.74,24.2,15,45.27,88,15.27,17.52,62.94,14.65,0.08,12.32,0.044,12.4494019,238.763596,0.106,0.971,0.58034681,1.149415512,0.639403428
42620,"Searcy, AR","Searcy, AR Micro Area",0.71,20.8,16.6,46.68,79.4,14.08,4.18,35.32,17.1,0.01,12.63,0.149,16.3,344.453658,0.271,0.973,0.721795424,1.262209709,0.759382997
42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area",0.61,41.1,10.4,45.45,82,17.74,2.99,73,11.9,0.1,8.52,0.0528,12.3386206,339.004333,0.006,0.955,0.681599606,0.999747098,0.670247541
42680,"Sebastian-Vero Beach, FL","Sebastian-Vero Beach, FL Metro Area",0.92,27.8,12.7,51.89,85.9,16.53,9.61,50.55,18.7,0.14,12.49,0.0856,14.3,255.158378,0,0.985,0.593536747,1.254476873,0.684807022
42700,"Sebring, FL","Sebring, FL Metro Area",0.95,17.1,18.7,47.58,83.6,15.78,7.33,50.55,21.8,0.16,9.66,0.064,15,318.265927,0.177,0.983,0.738881697,1.718762936,0.721274514
42740,"Sedalia, MO","Sedalia, MO Micro Area",0.85,17.7,17.2,44.44,81.2,15.9,9.52,25.83,21.2,0.03,19.14,0.0557,13.8,361.224611,0.34,1.006,0.849172958,1.44301269,0.668093113
42780,"Selinsgrove, PA","Selinsgrove, PA Micro Area",0.73,17.5,11.3,40.73,89.2,11.88,11.74,49.98,12.9,0.06,15.69,0.0501,10.7,188.057688,0.448,0.929,1.067583023,1.972136013,0.843530286
42820,"Selma, AL","Selma, AL Micro Area",0.82,14.2,31.9,49.74,89.5,23,3.52,60.8,25.2,0.04,25.11,0.0712,29.5,924.561168,0.166,0.992,0.624790432,1.160942611,0.785818662
42860,"Seneca, SC","Seneca, SC Micro Area",0.94,24.2,18.6,48.05,86.3,14.76,9.62,63.95,17.9,0.07,15.68,0.0505,11.4,370.494894,0.82,0.962,0.837994656,1.381577309,0.654907976
42900,"Seneca Falls, NY","Seneca Falls, NY Micro Area",0.89,20.5,11.8,42.97,85.7,13.38,36.98,41.93,23.7,0.03,13.42,0.1222,10.7,201.356658,0.202,0.99,0.51990581,1.156071617,0.628758191
42940,"Sevierville, TN","Sevierville, TN Micro Area",0.82,18,15.3,43.05,84.5,14.61,20.96,61.31,20.7,0.06,13.81,0.0614,12,311.178988,0.083,0.979,0.806925021,1.330754036,0.661109724
42980,"Seymour, IN","Seymour, IN Micro Area",0.85,15.9,15.6,40.03,87.8,12.22,45.73,24.23,17.3,0.02,15.68,0.1079,11.7,222.71968,0.244,0.937,0.612908578,1.597908482,0.660768054
43020,"Shawano, WI","Shawano, WI Micro Area",0.84,15.8,13.9,41.8,88.9,11.69,11.41,46.4,13.08,0.08,18.47,0.038,10.5801427,74.9889479,0.733,1.01,0.546372637,0.897331182,0.780814593
43060,"Shawnee, OK","Shawnee, OK Micro Area",0.77,18,17,43.94,84.2,13.52,18.56,44.47,19.4,0.19,17.01,0.0754,16.2,473.596969,0.151,0.969,0.686364817,1.24888486,0.759898291
43100,"Sheboygan, WI","Sheboygan, WI Metro Area",0.77,23.8,8.2,40.79,86.9,11.53,22.95,6.28,10.6,0,19.89,0.1853,8.7,158.975606,0,0.973,0.540122984,0.801319224,0.670594336
43140,"Shelby, NC","Shelby, NC Micro Area",0.79,16.5,19.9,46.76,89.5,15.3,14.88,63.95,19.4,0.09,14.99,0.0691,17.3,188.185018,0.052,0.953,0.656842639,1.184999826,0.804958584
43180,"Shelbyville, TN","Shelbyville, TN Micro Area",0.76,15.7,16.9,45.27,86.2,15.28,14.44,42.54,22.3,0.03,13.98,0.0581,12.3,425.264325,0.277,1.007,0.759562089,1.636502104,0.763780899
43220,"Shelton, WA","Shelton, WA Micro Area",0.91,17.8,16.2,42.8,82.2,17.29,4.64,68,18.1,0.13,17.32,0.0857,14,219.641525,0.123,0.983,0.787991272,1.245933216,0.554109518
43260,"Sheridan, WY","Sheridan, WY Micro Area",0.88,31.3,6.8,42.21,85,12.32,3.61,80.32,13,0.18,23.41,0.0641,12.3,151.373416,0.152,0.957,NA,0.553144259,0.66507296
43300,"Sherman-Denison, TX","Sherman-Denison, TX Metro Area",0.78,20.2,14.3,44.49,82.9,15.09,9.34,36.48,12.8,0.09,15.48,0.0931,17.9,272.679687,0.213,0.981,0.625382591,1.146449372,0.686387171
43320,"Show Low, AZ","Show Low, AZ Micro Area",0.77,15.5,29.1,47.73,85.8,25.2,1.31,94.97,17.5,0.3,12.99,0.0475,21.9,280.634381,0.524,0.986,0.683792414,1.36227791,0.664799717
43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area",0.71,23,21.7,49.87,87.1,16,9.06,63.84,17.63,0.03,28.59,0.0325,17.7692522,584.158736,0.391,0.965,0.67279835,1.145757088,0.733421115
43380,"Sidney, OH","Sidney, OH Micro Area",0.77,17.1,8.9,42.07,87.4,11.28,73.13,5.91,18.6,0,15.58,0.0431,11.5,125.055171,0.12,0.927,0.540727218,1.769241084,0.673596292
43420,"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ Metro Area",0.69,23.6,18.1,44.49,81.9,16.15,1.62,84.2,18.7,0.4,16.06,0.0919,14.5,333.03113,0.364,0.976,0.863042935,0.998274814,0.684560431
43460,"Sikeston, MO","Sikeston, MO Micro Area",0.85,13.6,20.1,46.24,84.5,13.48,7.1,21.25,23.3,0.02,19.09,0.0665,16.9,935.586579,0.104,0.971,0.639587234,1.593817115,1.040837652
43500,"Silver City, NM","Silver City, NM Micro Area",0.95,27,22,45.8,86.1,13.59,2.21,93.14,18.9,0.41,18.75,0.1159,14.8,0,0.287,0.985,0.393171036,0.872807988,0.699784895
43580,"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD Metro Area",0.8,21.7,12.9,43.24,87.1,11.83,9.3,4.08,12.99,0.14,13.66,0.0777,9.98966955,273.040366,0.235,0.973,0.642897073,0.874094797,0.600434786
43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area",0.8,32.5,9.2,43.3,83,10.9,10.64,4.08,9.42,0.16,16.28,0.0776,10.0335241,361.528607,0.055,0.988,0.622193963,0.980580397,0.69665112
43660,"Snyder, TX","Snyder, TX Micro Area",0.78,16.6,12.8,41.41,86.5,10.63,1.89,58.03,11.7,0.45,53.43,0.0331,11.6,298.142995,0.23,0.985,1.066652437,NA,0.604996235
43700,"Somerset, KY","Somerset, KY Micro Area",0.87,15.2,25.2,50.15,87.9,17.44,13.04,53.17,26.6,0.04,25.09,0.0326,15.9,119.00754,0.03,0.979,0.54244927,1.53285605,1.035236583
43740,"Somerset, PA","Somerset, PA Micro Area",0.94,15.7,12.7,42.5,91.2,11.19,18.21,63.1,16.6,0.03,13.42,0.0341,12.4,114.76996,0.181,0.964,0.641855493,1.264909896,0.583315632
43760,"Sonora, CA","Sonora, CA Micro Area",0.68,20.6,13.6,47.55,82.3,20.06,6.01,75.03,13.2,0.18,7.51,0.0739,14.7,316.156731,0.333,1.003,0.498428972,0.87506893,0.738798002
43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area",0.62,26.7,16.5,46.62,86.3,13.09,52.62,6.47,14.6,0.02,18.75,0.0743,14.2210198,393.300661,0.199,0.968,0.652873158,1.366013808,0.691762092
43900,"Spartanburg, SC","Spartanburg, SC Metro Area",0.72,22.8,15.9,45.7,85,13.82,14.88,55.26,17.46,0.09,17.32,0.0837,12.8046939,440.221158,0.097,0.966,0.688870028,0.997555646,0.723390196
43940,"Spearfish, SD","Spearfish, SD Micro Area",0.89,30.9,12.4,43.37,79.9,13.63,2.76,80.32,10.1,0.31,15.41,0.0624,11.2,175.912044,0.127,NA,0.643954823,0.97066105,0.912493378
