GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,Z_Water_Index,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME,Broadband % population without access,Female_Inequality,Black_equality,Hispanic_equality,Asian_equality,,,,
12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",0.87,26.60,15.30,46.31,87.50,25.70,28.44,30.21,18.40,0.07,13.17,0.1183,12.9,373.1873109,0.04,0.981724059,0.813746299,0.7266577502,1.176181480,,,,
12140,"Auburn, IN","Auburn, IN Micro Area",0.79,17.80,12.50,41.83,86.90,10.19,79.23,8.31,13.40,0.01,11.77,0.0622,11.6,117.4039636,0.28,0.953436003,1.674426563,1.3036736670,0.920149991,,,,
12180,"Auburn, NY","Auburn, NY Micro Area",0.89,22.40,11.60,42.67,87.30,12.22,37.33,41.93,11.40,0.03,8.45,0.0688,10.6,241.4412578,0.28,0.98408346,0.621770636,0.8466586639,1.244726397,,,,
12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",0.82,34.90,22.00,50.08,78.60,19.91,8.62,58.03,17.50,0.05,12.47,0.0607,18,415.637401,0.03,0.954081708,0.834931570,0.9402336434,1.670657383,,,,
12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",0.68,24.90,18.10,46.64,86.10,15.72,10.82,58.03,15.63,0.12,17.18,0.0947,16.248,322.8171567,0.19,0.967063972,0.865657752,0.8902300056,1.700657704,,,,
12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",0.96,26.70,14.10,42.89,85.00,14.39,6.35,77.07,14.00,0.05,10.07,0.0697,16.248,168.1914642,0.01,0.991927081,0.574810305,1.1694560070,1.518189571,,,,
12380,"Austin, MN","Austin, MN Micro Area",0.90,20.70,13.00,45.08,85.10,13.19,8.91,12.21,11.60,0.05,19.58,0.0583,8.8,207.7226966,0.04,0.972151563,0.969620507,0.5781654090,0.994030535,,,,
12420,"Austin-Round Rock, TX","Austin-Round Rock, TX Metro Area",0.70,42.90,12.30,46.25,81.00,18.57,5.85,49.83,12.63,0.12,13.70,0.0540,14.29402064,302.6516922,0.02,0.967391925,0.859399242,0.7762467591,1.441377210,,,,
12460,"Bainbridge, GA","Bainbridge, GA Micro Area",0.75,14.90,24.10,51.21,87.30,20.87,10.27,60.80,20.30,0.13,23.69,0.0665,20.5,678.6117121,0.35,0.97571696,0.913170000,0.9683009345,3.166512139,,,,
12540,"Bakersfield, CA","Bakersfield, CA Metro Area",0.14,15.80,22.60,46.20,84.00,25.15,4.13,67.86,23.70,0.20,19.59,0.1195,13.6,545.3378531,0.16,0.960885786,0.957967997,0.7661509331,1.741098082,,,,
12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",0.52,38.70,10.50,45.57,86.80,16.65,20.21,41.85,13.66,0.10,11.04,0.0673,11.48353108,645.9522521,0.03,0.972979438,0.898684605,0.9425488715,1.482056107,,,,
12620,"Bangor, ME","Bangor, ME Metro Area",0.90,26.20,15.90,45.24,84.90,16.47,2.18,78.22,14.40,0.07,10.33,0.0731,15.1,86.25111489,0.22,0.984239815,0.856056670,1.1470267460,1.478528893,,,,
12660,"Baraboo, WI","Baraboo, WI Micro Area",0.86,23.40,11.30,41.86,86.70,13.98,3.33,17.39,9.60,0.03,21.04,0.0479,9.6,110.7367528,0.21,0.980272026,0.631140801,0.9811662025,1.201747717,,,,
12680,"Bardstown, KY","Bardstown, KY Micro Area",0.78,17.50,11.40,45.18,88.30,13.47,25.62,42.54,19.00,0.03,19.12,0.0712,12.4,107.5066222,0.85,0.963402729,1.017037375,0.4586095735,1.133201819,,,,
